dataset,split,unit,contract,threshold,alpha,beta_fp,confidence,risk_delta,fp_delta,family_size,threshold_grid_size,bound_method,n_bound_mode,contract_record,unit_count,image_count,n_gt,misses,tp,fp,object_risk,precision,fp_img,z_mean,z_upper,z_upper_hoeffding,fp_upper,fp_upper_hoeffding,n_bound,risk_feasible,utility_feasible,bad_units,bad_unit_cp,threshold_selection_mode,contract_risk_feasible,joint_feasible,selected
uavdt,trainval_imagehash90_nmax259,image,raw640,0.0,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'raw640', 'resolution': 640, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,3000,35755,122756,0.07740936653335054,0.22556794165704588,88.1867816091954,-2.299425287356322,1.1962028884156108,9.715792453407111,103.25231116741764,107.1776912889443,259.0,False,True,253,0.2123907079094619,no_risk_feasible_min_z,False,False,False
uavdt,trainval_imagehash90_nmax259,image,raw960,0.0,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'raw960', 'resolution': 960, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1763,36992,380608,0.04549090439943233,0.08858237547892721,273.42528735632186,-3.188074712643678,0.0339338156815443,8.827143028119755,283.1581837490539,292.41619703607074,259.0,False,False,1389,0.9998107407526157,no_risk_feasible_min_z,False,False,False
uavdt,trainval_imagehash90_nmax259,image,union,0.05,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'union', 'resolution': None, 'nms_iou': None, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1723,37032,111267,0.04445877951232099,0.24971173102987881,79.93318965517241,-3.216810344827586,-0.0018524955698513423,8.798407395935847,92.73505465401335,96.91476025446154,259.0,True,True,214,0.1826194837524201,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,nms040,0.03125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'nms040', 'resolution': None, 'nms_iou': 0.4, 'max_det': None, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1736,37019,66929,0.04479422010063218,0.3561299880709586,48.08117816091954,-3.207471264367816,-0.0018122671770801624,8.807746476395616,59.282207186425886,67.07208784066843,259.0,True,True,138,0.12361656402288071,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,nms040_cap300,0.03,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'nms040_cap300', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1737,37018,71534,0.04482002322280996,0.3410162871250645,51.389367816091955,-3.2067528735632185,-0.0019832248721027845,8.808464867200215,62.66026090833374,70.38027749584084,259.0,True,True,139,0.12440389510335548,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,nms040_cap300_sf003,0.03,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'nms040_cap300_sf003', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.003, 'support_iou': None, 'dual_bonus': 0.0, 'single_penalty_640': 1.0, 'single_penalty_960': 1.0, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1737,37018,71534,0.04482002322280996,0.3410162871250645,51.389367816091955,-3.2067528735632185,-0.0019832248721027845,8.808464867200215,62.66026090833374,70.38027749584084,259.0,True,True,139,0.12440389510335548,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,support_soft_a,0.03125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'support_soft_a', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.04, 'single_penalty_640': 0.8, 'single_penalty_960': 0.9, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1709,37046,61605,0.044097535801832025,0.37552584363057645,44.25646551724138,-3.226867816091954,-0.024667943146054583,8.78834992467148,55.383592422514454,63.247375196990276,259.0,True,True,118,0.10778942313686983,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,support_soft_b,0.03,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'support_soft_b', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.5, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1739,37016,58677,0.044871629467165525,0.38682035258587355,42.15301724137931,-3.2053160919540233,-0.0008541391317051783,8.80990164880941,53.154905328237305,61.1439269211282,259.0,True,True,119,0.10858468427826631,fixed_sequence_ltt,True,True,False
uavdt,trainval_imagehash90_nmax259,image,support_floor,0.03125,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'support_floor', 'resolution': None, 'nms_iou': 0.4, 'max_det': 300, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.7, 'single_penalty_960': 0.85, 'unsupported_floor': 0.015, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,1731,37024,57172,0.04466520448974326,0.39305278355768825,41.07183908045977,-3.2110632183908048,-0.007255619187684026,8.804154522372627,52.06135370558805,60.06274876020866,259.0,True,True,114,0.1046038957818476,fixed_sequence_ltt,True,True,True
uavdt,trainval_imagehash90_nmax259,image,support_cap200,0.0,0.16,150.0,0.95,0.0025000000000000022,1.4285714285714299e-05,10,175,eb,predeclared,"{'name': 'support_cap200', 'resolution': None, 'nms_iou': 0.4, 'max_det': 200, 'score_floor': 0.0, 'support_iou': 0.45, 'dual_bonus': 0.06, 'single_penalty_640': 0.75, 'single_penalty_960': 0.88, 'unsupported_floor': 0.0, 'seq_center': None, 'seq_bonus': 0.0, 'seq_penalty': 1.0, 'seq_unsupported_floor': 0.0}",1392,1392,38755,2194,36561,239143,0.05661205005805702,0.13260961030670573,171.79813218390805,-2.8784482758620693,0.5094092601991886,9.136769464901363,181.2590025102218,190.78904186365693,259.0,False,False,1321,0.9640817937595256,no_risk_feasible_min_z,False,False,False
