file,kind,rows_checked,dataset_values,metadata_status
output/tables/cluster_contract_search_aitod_train_to_val_stress_uavdt_image_operational_iou0.5_base_eb_min_loss_aitod_train_to_val_nmscap_iou50_image_strict_fc_selected.csv,csv,1,aitod,ok
output/tables/cluster_contract_search_aitod_train_to_val_stress_uavdt_sequence_operational_iou0.5_base_eb_min_loss_aitod_train_to_val_nmscap_iou50_sequence_strict_fc_selected.csv,csv,1,aitod,ok
output/tables/cluster_contract_search_hoeffding_aitod_iou35_nms3_minloss_uavdt_block_operational_iou0.35_base_hoeffding_min_loss_aitod_train_to_val_nmscap_iou35_block_strict_fc_selected.csv,csv,1,aitod,ok
output/tables/cluster_contract_search_hoeffding_aitod_iou35_nms3_minloss_uavdt_image_operational_iou0.35_base_hoeffding_min_loss_aitod_train_to_val_nmscap_iou35_image_strict_fc_selected.csv,csv,1,aitod,ok
output/tables/cluster_contract_search_hoeffding_aitod_iou35_nms3_minloss_uavdt_sequence_operational_iou0.35_base_hoeffding_min_loss_aitod_train_to_val_nmscap_iou35_sequence_strict_fc_selected.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_ablation_uavdt_nms040_cap300_t0.075_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_ablation_uavdt_nms040_cap300_t0.15_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_ablation_uavdt_nms040_t0.02_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_ablation_uavdt_raw960_t0.0075_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_train_uavdt_nms040_cap300_t0.125_block_operational_iou0.25_aitod_train_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_train_uavdt_nms040_cap300_t0.125_image_operational_iou0.25_aitod_train_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_train_uavdt_nms040_cap300_t0.125_sequence_operational_iou0.25_aitod_train_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.125_block_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.125_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.125_sequence_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.175_block_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.175_image_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_aitod_uavdt_nms040_cap300_t0.175_sequence_operational_iou0.25_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_iou35_aitod_uavdt_nms040_cap300_t0.125_block_operational_iou0.35_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_iou35_aitod_uavdt_nms040_cap300_t0.125_image_operational_iou0.35_aitod_val_cache_summary.csv,csv,1,aitod,ok
output/tables/fixed_cluster_candidate_eval_hoeffding_iou35_aitod_uavdt_nms040_cap300_t0.125_sequence_operational_iou0.35_aitod_val_cache_summary.csv,csv,1,aitod,ok
