iou,contract,cls,class_name,threshold,risk,risk_CI95_lo,risk_CI95_hi,precision,fp_img,misses,n_gt,tp,fp
0.25,raw640,0,vehicle/main,0.001,0.23232799245994346,0.21450328286973683,0.25089499562996026,0.1569364161849711,128.69117647058823,493,2122,1629,8751
0.25,raw640,1,rare-1,0.001,1.0,0.29240177382128674,1.0,0.0,4.6911764705882355,3,3,0,319
0.25,raw640,2,rare-2,0.001,0.6842105263157895,0.5475701582112286,0.800949922261782,0.04522613065326633,5.588235294117647,39,57,18,380
0.25,raw960,0,vehicle/main,0.01875,0.12441093308199812,0.11065847116874981,0.13920984961392238,0.13275221491854816,178.5,264,2122,1858,12138
0.25,raw960,1,rare-1,0.01875,1.0,0.29240177382128674,1.0,0.0,0.23529411764705882,3,3,0,16
0.25,raw960,2,rare-2,0.01875,0.543859649122807,0.40655974600452627,0.6764458236275752,0.0790273556231003,4.455882352941177,31,57,26,303
0.25,union,0,vehicle/main,0.05625,0.13006597549481622,0.11603668319069207,0.14512555273671943,0.2038202495307497,106.04411764705883,276,2122,1846,7211
0.25,union,1,rare-1,0.05625,1.0,0.29240177382128674,1.0,0.0,0.9558823529411765,3,3,0,65
0.25,union,2,rare-2,0.05625,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.10679611650485436,4.0588235294117645,24,57,33,276
0.25,nms040,0,vehicle/main,0.025,0.10885956644674835,0.09591900886895947,0.12289129433364727,0.22722903148281662,94.57352941176471,231,2122,1891,6431
0.25,nms040,1,rare-1,0.025,1.0,0.29240177382128674,1.0,0.0,1.3970588235294117,3,3,0,95
0.25,nms040,2,rare-2,0.025,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.10476190476190476,4.147058823529412,24,57,33,282
0.25,nms040_cap300,0,vehicle/main,0.025,0.11215834118755891,0.0990389420050572,0.1263593910518633,0.22778382299601016,93.92647058823529,238,2122,1884,6387
0.25,nms040_cap300,1,rare-1,0.025,1.0,0.29240177382128674,1.0,0.0,1.3970588235294117,3,3,0,95
0.25,nms040_cap300,2,rare-2,0.025,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.10509554140127389,4.132352941176471,24,57,33,281
0.25,nms040_cap300_sf003,0,vehicle/main,0.025,0.11215834118755891,0.0990389420050572,0.1263593910518633,0.22778382299601016,93.92647058823529,238,2122,1884,6387
0.25,nms040_cap300_sf003,1,rare-1,0.025,1.0,0.29240177382128674,1.0,0.0,1.3970588235294117,3,3,0,95
0.25,nms040_cap300_sf003,2,rare-2,0.025,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.10509554140127389,4.132352941176471,24,57,33,281
0.25,support_soft_a,0,vehicle/main,0.03125,0.1234684260131951,0.10976300781650827,0.13822299801452081,0.2567287784679089,79.19117647058823,262,2122,1860,5385
0.25,support_soft_a,1,rare-1,0.03125,1.0,0.29240177382128674,1.0,0.0,1.2794117647058822,3,3,0,87
0.25,support_soft_a,2,rare-2,0.03125,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.11,3.926470588235294,24,57,33,267
0.25,support_soft_b,0,vehicle/main,0.025,0.12016965127238455,0.10663099360776128,0.1347669200708892,0.2416202924809111,86.17647058823529,255,2122,1867,5860
0.25,support_soft_b,1,rare-1,0.025,1.0,0.29240177382128674,1.0,0.0,1.338235294117647,3,3,0,91
0.25,support_soft_b,2,rare-2,0.025,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.10784313725490197,4.014705882352941,24,57,33,273
0.25,support_floor,0,vehicle/main,0.03,0.12488218661639962,0.11110630156202095,0.13970317716611907,0.25953878406708597,77.91176470588235,265,2122,1857,5298
0.25,support_floor,1,rare-1,0.03,1.0,0.29240177382128674,1.0,0.0,1.2205882352941178,3,3,0,83
0.25,support_floor,2,rare-2,0.03,0.42105263157894735,0.2914340766732466,0.5591613734215396,0.1111111111111111,3.8823529411764706,24,57,33,264
0.25,support_cap200,0,vehicle/main,0.00625,0.17342130065975495,0.15753621828259828,0.1902137922041561,0.14771770254337208,148.8235294117647,368,2122,1754,10120
0.25,support_cap200,1,rare-1,0.00625,1.0,0.29240177382128674,1.0,0.0,6.367647058823529,3,3,0,433
0.25,support_cap200,2,rare-2,0.00625,0.43859649122807015,0.3074154334404188,0.5763785812534241,0.06680584551148225,6.573529411764706,25,57,32,447
0.5,raw640,0,vehicle/main,0.001,0.3784165881244109,0.3577255974112236,0.3994440128762311,0.1270712909441233,133.25,803,2122,1319,9061
0.5,raw640,1,rare-1,0.001,1.0,0.29240177382128674,1.0,0.0,4.6911764705882355,3,3,0,319
0.5,raw640,2,rare-2,0.001,0.6842105263157895,0.5475701582112286,0.800949922261782,0.04522613065326633,5.588235294117647,39,57,18,380
0.5,raw960,0,vehicle/main,0.01,0.22054665409990576,0.2030656640598704,0.23880285146289706,0.08634370432240551,257.38235294117646,468,2122,1654,17502
0.5,raw960,1,rare-1,0.01,1.0,0.29240177382128674,1.0,0.0,7.764705882352941,3,3,0,528
0.5,raw960,2,rare-2,0.01,0.6140350877192983,0.47574841524351125,0.7400453190018772,0.030726256983240222,10.205882352941176,35,57,22,694
0.5,union,0,vehicle/main,0.001,0.16116870876531575,0.14576506377110146,0.1775143303276573,0.060265438786565546,408.1764705882353,342,2122,1780,27756
0.5,union,1,rare-1,0.001,1.0,0.29240177382128674,1.0,0.0,12.455882352941176,3,3,0,847
0.5,union,2,rare-2,0.001,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.025134649910233394,15.970588235294118,29,57,28,1086
0.5,nms040,0,vehicle/main,0.001,0.21347785108388312,0.1962129596224012,0.23153772016475968,0.11268651677807036,193.26470588235293,453,2122,1669,13142
0.5,nms040,1,rare-1,0.001,1.0,0.29240177382128674,1.0,0.0,8.323529411764707,3,3,0,566
0.5,nms040,2,rare-2,0.001,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.04185351270553064,9.426470588235293,29,57,28,641
0.5,nms040_cap300,0,vehicle/main,0.001,0.21583411875589067,0.19849634995572452,0.23396027311907186,0.11309726092571196,191.89705882352942,458,2122,1664,13049
0.5,nms040_cap300,1,rare-1,0.001,1.0,0.29240177382128674,1.0,0.0,8.308823529411764,3,3,0,565
0.5,nms040_cap300,2,rare-2,0.001,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.041979010494752625,9.397058823529411,29,57,28,639
0.5,nms040_cap300_sf003,0,vehicle/main,0.003,0.21583411875589067,0.19849634995572452,0.23396027311907186,0.12118563833661058,177.4558823529412,458,2122,1664,12067
0.5,nms040_cap300_sf003,1,rare-1,0.003,1.0,0.29240177382128674,1.0,0.0,7.485294117647059,3,3,0,509
0.5,nms040_cap300_sf003,2,rare-2,0.003,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.04538087520259319,8.661764705882353,29,57,28,589
0.5,support_soft_a,0,vehicle/main,0.0,0.21677662582469368,0.1994099440322659,0.23492905691384872,0.11309199782253675,191.6764705882353,460,2122,1662,13034
0.5,support_soft_a,1,rare-1,0.0,1.0,0.29240177382128674,1.0,0.0,8.308823529411764,3,3,0,565
0.5,support_soft_a,2,rare-2,0.0,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.041979010494752625,9.397058823529411,29,57,28,639
0.5,support_soft_b,0,vehicle/main,0.0,0.2177191328934967,0.20032367311110147,0.23589770601890225,0.11299435028248588,191.63235294117646,462,2122,1660,13031
0.5,support_soft_b,1,rare-1,0.0,1.0,0.29240177382128674,1.0,0.0,8.308823529411764,3,3,0,565
0.5,support_soft_b,2,rare-2,0.0,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.041979010494752625,9.397058823529411,29,57,28,639
0.5,support_floor,0,vehicle/main,0.0125,0.2181903864278982,0.2007805880780869,0.23638198025999307,0.15253769768297168,135.5441176470588,463,2122,1659,9217
0.5,support_floor,1,rare-1,0.0125,1.0,0.29240177382128674,1.0,0.0,2.0,3,3,0,136
0.5,support_floor,2,rare-2,0.0125,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.07713498622589532,4.926470588235294,29,57,28,335
0.5,support_cap200,0,vehicle/main,0.00625,0.2766258246936852,0.2576765288896885,0.29619398618067233,0.129274044130032,152.0441176470588,587,2122,1535,10339
0.5,support_cap200,1,rare-1,0.00625,1.0,0.29240177382128674,1.0,0.0,6.367647058823529,3,3,0,433
0.5,support_cap200,2,rare-2,0.00625,0.5087719298245614,0.37289785727955693,0.6437035128055746,0.05845511482254697,6.632352941176471,29,57,28,451
