beta,contract,passes,best_fp_u
140.0,nms040_cap300,False,148.4086923752018
140.0,support_floor,True,139.90236326127774
141.0,nms040_cap300,False,148.4086923752018
141.0,support_floor,True,139.90236326127774
142.0,nms040_cap300,False,148.4086923752018
142.0,support_floor,True,139.90236326127774
143.0,nms040_cap300,False,148.4086923752018
143.0,support_floor,True,139.90236326127774
144.0,nms040_cap300,False,148.4086923752018
144.0,support_floor,True,139.90236326127774
145.0,nms040_cap300,False,148.4086923752018
145.0,support_floor,True,139.90236326127774
146.0,nms040_cap300,False,148.4086923752018
146.0,support_floor,True,139.90236326127774
147.0,nms040_cap300,False,148.4086923752018
147.0,support_floor,True,139.90236326127774
148.0,nms040_cap300,False,148.4086923752018
148.0,support_floor,True,139.90236326127774
149.0,nms040_cap300,True,148.4086923752018
149.0,support_floor,True,139.90236326127774
150.0,nms040_cap300,True,148.4086923752018
150.0,support_floor,True,139.90236326127774
151.0,nms040_cap300,True,148.4086923752018
151.0,support_floor,True,139.90236326127774
152.0,nms040_cap300,True,148.4086923752018
152.0,support_floor,True,139.90236326127774
153.0,nms040_cap300,True,148.4086923752018
153.0,support_floor,True,139.90236326127774
154.0,nms040_cap300,True,148.4086923752018
154.0,support_floor,True,139.90236326127774
155.0,nms040_cap300,True,148.4086923752018
155.0,support_floor,True,139.90236326127774
156.0,nms040_cap300,True,148.4086923752018
156.0,support_floor,True,139.90236326127774
157.0,nms040_cap300,True,148.4086923752018
157.0,support_floor,True,139.90236326127774
158.0,nms040_cap300,True,148.4086923752018
158.0,support_floor,True,139.90236326127774
159.0,nms040_cap300,True,148.4086923752018
159.0,support_floor,True,139.90236326127774
160.0,nms040_cap300,True,148.4086923752018
160.0,support_floor,True,139.90236326127774
